"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 14:41:45 CST 2023","Wed Nov 15 14:41:45 CST 2023","45","suite project","Test","testCases.TestRunFIles","testCases.TestRunFIles","testComputePower","文件运行接口",""
"passed","Wed Nov 15 14:41:45 CST 2023","Wed Nov 15 14:41:45 CST 2023","21","suite project","Test","testCases.TestJDBC","testCases.TestJDBC","testJDBC04","增加数据到数据库",""
"passed","Wed Nov 15 14:41:45 CST 2023","Wed Nov 15 14:41:45 CST 2023","25","suite project","Test","testCases.TestJDBC","testCases.TestJDBC","tetsJDBC02","增加数据到数据库",""
"passed","Wed Nov 15 14:41:46 CST 2023","Wed Nov 15 14:41:46 CST 2023","196","suite project","Test","testCases.TestLogin","testCases.TestLogin","send","输入验证码接口","获取验证码测试1"
"failed","Wed Nov 15 14:41:46 CST 2023","Wed Nov 15 14:41:47 CST 2023","204","suite project","Test","testCases.TestLogin","testCases.TestLogin","login","登录接口测试","登录接口测试3"
"passed","Wed Nov 15 14:41:45 CST 2023","Wed Nov 15 14:41:45 CST 2023","28","suite project","Test","testCases.TestRunFIles","testCases.TestRunFIles","testScriptList","查看账户中文件运行状态的接口","主要测试接口运行文件中的内容需要多长时间可以出结果，设定接口要在60秒内运行出文件内容才算测试通过"
"passed","Wed Nov 15 14:41:46 CST 2023","Wed Nov 15 14:41:46 CST 2023","112","suite project","Test","testCases.TestLogin","testCases.TestLogin","login","登录接口测试","登录接口测试1"
"passed","Wed Nov 15 14:41:44 CST 2023","Wed Nov 15 14:41:44 CST 2023","187","suite project","Test","testCases.TestJDBC","testCases.TestJDBC","testJDBC","查询数据库",""
"passed","Wed Nov 15 14:41:45 CST 2023","Wed Nov 15 14:41:45 CST 2023","72","suite project","Test","testCases.TestRunFIles","testCases.TestRunFIles","testScriptInfo","查看接口的运行状态",""
"failed","Wed Nov 15 14:41:46 CST 2023","Wed Nov 15 14:41:46 CST 2023","121","suite project","Test","testCases.TestLogin","testCases.TestLogin","login","登录接口测试","登录接口测试2"
"passed","Wed Nov 15 14:41:46 CST 2023","Wed Nov 15 14:41:46 CST 2023","114","suite project","Test","testCases.TestLogin","testCases.TestLogin","send","输入验证码接口","获取验证码测试2"
"passed","Wed Nov 15 14:41:45 CST 2023","Wed Nov 15 14:41:45 CST 2023","65","suite project","Test","testCases.TestRunFIles","testCases.TestRunFIles","testUploadScript","文件上传接口",""
"passed","Wed Nov 15 14:41:44 CST 2023","Wed Nov 15 14:41:45 CST 2023","31","suite project","Test","testCases.TestJDBC","testCases.TestJDBC","testJDBC02","测试通过数据库的表对象获取数据",""
"passed","Wed Nov 15 14:41:46 CST 2023","Wed Nov 15 14:41:46 CST 2023","157","suite project","Test","testCases.TestLogin","testCases.TestLogin","send","输入验证码接口","获取验证码测试3"
